Viability,Smiles
123.38,CCCc(ncnc1)c1C(N[C@@H](Cc1ccccc1)C(O)=O)=O
108.44,CN(CC(N1CCC(C2)(CN(C)C2=O)CC1)=O)Cc(cc1)ccc1F
88.83,Cc1cc(C)nn1-c1cccc(CN2N=CC(N3CCC(CN)CC3)=CC2=O)c1
97.59,Cc1noc(C)c1C(NCc1nn(CCN(C2)C(N(C)C)=O)c2c1)=O
116.47,CCCc1nc(C(NCC(c(cc2)ccc2F)N2CCCC2)=O)cs1
65.74,COc1ccc(C(N(CC2)CCC2(CO2)OC2=O)=O)c2ccccc12
90.86,NS(N(CC1)CCN1C(c1cc(-c2cc(F)ccc2)ccc1)=O)(=O)=O
87.78,CC(C)CNC(c1cc(-c2ncc(Cn3cncc3)cc2)ccc1)=O
85.59,Cc1nc(CN(C)C(Nc(cccc2)c2OCCOC)=O)no1
85.64,Cc1c2nc(C)cc(NCCc3csc(-c4ncccn4)n3)n2nc1C
98.99,CN(C)C(C(NCc(cccc1)c1-n1cncc1)=O)c(cccc1)c1F
97.0,CC(N1CCc2ccccc2)=NN(CC(N2C[C@H](CCC3)N3CCC2)=O)C1=O
86.29,N[C@H]([C@H](CC1)C2)[C@@H]1CN2C(NCc1cccs1)=O
91.38,CC(Cc(cc1)cc2c1OCO2)(CCC1)CN1C(CSc1nc(C)n[nH]1)=O
85.16,CC(C)Nc(nc1)ncc1C(N1CCCCCCC1)=O
97.87,CO[C@@H](CCOC1)[C@H]1NC(c(cn1)cnc1OC)=O
83.76,Cc(n(C)nc1C)c1-c1nn(C)c(-c2ncnn2CC2CCCCC2)c1
108.05,COc(nccc1)c1C(N(CC1)CCC1(CC1)CN(Cc2ncccc2)C1=O)=O
96.57,Cc1nc(N(CCOC2)CC2O)nc(C2CCC2)c1
75.37,CCCn1nccc1S(NCC1(Cn2nccc2)CC1)(=O)=O
104.58,C[C@@H](CN(C1)c2nc(cccc3)c3s2)[C@]1(C1CC1)O
114.6,Fc1c(CCNc2nnc(C3CC3)o2)cccc1
105.03,CC(N[C@@H](CN(C1)C(c2ccncc2)=O)[C@H]1c1ccc(C)cc1)=O
108.53,CN(C)c(cccc1)c1-c1nccc(C(N2CCOCC2)=O)c1
91.29,CN(CCn(cc1)c2c1cccc2)C(CN(C[C@H](CC1)N[C@H]1C1)C1=O)=O
101.24,COc1nc(NCC2Cc(cccc3)c3OCC2)nc(OC)c1
96.6,CN(CCO)C[C@H](C1)[C@@H](CO)CN1C(CC1)CCN1c(cccc1)c1Cl
92.85,CCn1nnc(-c2cccc(NC(NCC(F)(F)F)=O)c2)n1
46.2,CCOc(cc1)ccc1NC(N(CC1)CCC11OC(CNC(C)=O)CC1)=O
116.05,CN(CCC1NC(N(CC2)CCC2Oc2cccc(C(F)(F)F)c2)=O)C1=O
92.8,Cn1c(CN2Cc3cc(CCC(NC4CCCC4)=O)nn3CCC2)ncc1
96.69,Cn1c(CN(CCC2)CC2C(Nc(cccc2)c2Oc2cnccc2)=O)nnc1
64.69,Cc(cc1)nnc1-c(cc1)ccc1C(N1C[C@H](CCCC2)[C@@H]2CC1)=O
96.73,CN(C)C(C(NCc1nc(COC)no1)=O)c(cc1)ccc1F
111.45,COc1cccc(CN(CC(C2)(CC3)CCN3c3nccs3)C2=O)c1
84.83,COc1cccc(CN(CCN(C2)C(NCC3OCCC3)=O)C2=O)c1
103.71,O=C(c(cc1)ccc1-c1n[nH]cc1)NCCc1cccc(C(F)(F)F)c1
96.05,CCC[C@@H](CN(C1)C(c2ccc(Cn3nnnc3C)cc2)=O)[C@H]1NC(C)=O
90.28,CCCc1cc(-c2cccc(C(NC3COCC3)=O)c2)nc(C)n1
90.39,O[C@@H](CNCC1)[C@H]1NC(c(cc1)cn2c1nc(-c1ccccc1)c2)=O
88.68,CCn1nc(C)cc1S(NC(C)c1nc(CCCC2)c2s1)(=O)=O
109.98,O[C@@H](CN(CC1)C(CCC(F)(F)F)=O)[C@H]1NC(c1nccnc1)=O
98.42,Cc1nc(O)cc(C(CC2)CCN2C(c2cc(C(F)(F)F)n[nH]2)=O)n1
106.96,Cc1noc(C)c1C(N(CC1)Cc2c1ccc(S(N1CCCC1)(=O)=O)c2)=O
150.35,Cc1cccnc1CN(CC1)CCN1C(c(cc1)ccc1-c1cncc(N)c1)=O
89.4,Cc(cc1)c(C)cc1C(N[C@@H](CCOC1)[C@H]1Oc1ccc(CO)cc1)=O
68.87,Cn1ncc(CN(C2CC2)C(C2=Nc(cccc3)c3NC2=O)=O)c1
96.69,CNC(c1cc(S(NC2CC3(CCOCC3)OCC2)(=O)=O)cs1)=O
88.52,Cc1nccn1-c(cc1)ccc1NC([C@H](CCC1)N1C(CN(CCO1)C1=O)=O)=O
96.0,Cc1n[nH]c(C2CC2)c1C(N(CC1)C[C@@H](CCC(O)=O)[C@H]1N1CCN(C)CC1)=O
113.01,CC(N[C@@H](CN(Cc(cc1)cc2c1OCO2)C1)[C@H]1c1ccc(C)cc1)=O
86.97,Cn1c(C2CCN(C/C=C/c3ccccc3)CC2)nnc1CN1CCOCC1
76.72,CCN(Cc1noc(C2CCC2)n1)C(CCc(cc1)cc(F)c1F)=O
94.66,CC(C)[C@@H](CN(C1)C(c(cc2)cc3c2[nH]c(C)n3)=O)[C@H]1NS(C)(=O)=O
73.98,Cc(cncc1)c1-c1cccc(C(NCCCN(CCC2)C2=O)=O)c1
76.86,CN(Cc1cn(-c2ccccc2)nc1)c1cc(C(C2)CC2N)nc(COC)n1
4.88,O=C(C1CCOCC1)N(CC1)Cc2c1ccc(S(NC1CCC1)(=O)=O)c2
161.83,Cc1nc(CNc2ncnc(C3COCC3)c2)cs1
104.64,Cc1noc(C)c1CC(N[C@@H](COC1)[C@H]1N1CCCC1)=O
96.26,NC(CN(CC1)CCC1c1nc(-c2ccncc2)no1)=O
85.02,CCN(CC)C(c1cc(-c2cn(CCC(N)=O)nc2)ccc1)=O
89.6,CN(CCC1CCOCC1)C(Nc(cc1)cc(OC)c1OC)=O
91.01,OC[C@@H]1[C@H](CN2CCCC2)CN(Cc2cccc(Oc3ccccc3)c2)C1
84.54,Cc1csc(CCCNC(c2csc(-c3cccs3)n2)=O)n1
80.88,CS(c(cc1)ccc1-c1ncnc2c1cn[nH]2)(=O)=O
100.52,CC(C1=CCCCC1)NC(c(cc1)cn2c1nc(C)c2)=O
51.58,OC(c1nc(-c(cc2)cc3c2OCO3)cnc1)=O
108.16,Cc1noc(C)c1CN(C)C(Nc(cc1)ccc1C(N1CCOCC1)=O)=O
102.27,CN(C)S(N(C[C@@H](CC1)C2)C[C@H]1N2C(c1cc(C2CC2)n[nH]1)=O)(=O)=O
